,recv_c_dttm,create_dttm,resolve_dttm,user_resolve_dttm,forced_resolve_dttm,forced_username,recv_r_dttm,region,eid,ne_id,dn,dn_invt,mon_nm,step1,step2,step3,step4,obj,cause,grade,rect_type,rect_type.1,alert_type,alert_id,Y
2331,2021-01-22 02:00:04.822,2021-01-21 16:57:39.000,2021-01-21 16:57:39.000,,,,2021-01-22 02:00:04.822,dj,,1530.0,dj/c/cgni02/c/rack06/03/bm/nov060,dj/c/cgni02/c/rack06/03/bm/nov060,dejncc02nov060,server,ipmi,sel,hp.ipmi.sel.146,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 2, port 1",ipmi_api,status,,0

2332,2021-01-22 02:00:04.853,2021-01-21 16:57:39.000,2021-01-21 16:57:39.000,,,,2021-01-22 02:00:04.853,dj,,1530.0,dj/c/cgni02/c/rack06/03/bm/nov060,dj/c/cgni02/c/rack06/03/bm/nov060,dejncc02nov060,server,ipmi,sel,hp.ipmi.sel.147,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 2, port 2",ipmi_api,status,,0

2333,2021-01-22 02:00:04.884,2021-01-21 16:57:39.000,2021-01-21 16:57:39.000,,,,2021-01-22 02:00:04.884,dj,,1530.0,dj/c/cgni02/c/rack06/03/bm/nov060,dj/c/cgni02/c/rack06/03/bm/nov060,dejncc02nov060,server,ipmi,sel,hp.ipmi.sel.148,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 4, port 1",ipmi_api,status,,0

2334,2021-01-22 02:00:04.914,2021-01-21 16:57:39.000,2021-01-21 16:57:39.000,,,,2021-01-22 02:00:04.914,dj,,1530.0,dj/c/cgni02/c/rack06/03/bm/nov060,dj/c/cgni02/c/rack06/03/bm/nov060,dejncc02nov060,server,ipmi,sel,hp.ipmi.sel.149,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 4, port 2",ipmi_api,status,,0

2335,2021-01-22 02:00:04.944,2021-01-21 16:57:40.000,2021-01-21 16:57:40.000,,,,2021-01-22 02:00:04.944,dj,,1530.0,dj/c/cgni02/c/rack06/03/bm/nov060,dj/c/cgni02/c/rack06/03/bm/nov060,dejncc02nov060,server,ipmi,sel,hp.ipmi.sel.150,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 5, port 1",ipmi_api,status,,0

2336,2021-01-22 02:00:04.975,2021-01-21 16:57:40.000,2021-01-21 16:57:40.000,,,,2021-01-22 02:00:04.975,dj,,1530.0,dj/c/cgni02/c/rack06/03/bm/nov060,dj/c/cgni02/c/rack06/03/bm/nov060,dejncc02nov060,server,ipmi,sel,hp.ipmi.sel.151,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 5, port 2",ipmi_api,status,,0

3582,2021-01-29 02:05:20.752,2021-01-29 02:05:20.752,2021-01-29 02:35:23.527,,,,2021-01-29 02:35:23.527,sj,,1110.0,sj/c/cgni01/c/rack03/15/bm/nova0304,sj/c/cgni01/c/rack03/15/bm/nova0304,sjcc01nova0304,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

3664,2021-01-29 07:50:44.423,2021-01-29 07:50:44.423,2021-01-29 07:55:23.269,,,,2021-01-29 07:55:23.269,sj,,1110.0,sj/c/cgni01/c/rack03/15/bm/nova0304,sj/c/cgni01/c/rack03/15/bm/nova0304,sjcc01nova0304,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

3667,2021-01-29 17:15:04.637,2021-01-29 08:05:05.000,2021-01-29 08:05:05.000,,,,2021-01-29 17:15:04.637,yi,,1620.0,yi/e/cgni01/c/rack01/28/bm/nov018,yi/e/cgni01/c/rack01/28/bm/nov018,yginec01nov018,server,ipmi,sel,hp.ipmi.sel.20,,hw-fault,warning,"hpe ethernet 1gb 4-port 331i adapter - nic connectivity status changed to ok for adapter in slot 0, port 2",ipmi_api,status,,0

3668,2021-01-29 17:15:04.685,2021-01-29 08:05:05.000,2021-01-29 08:05:05.000,,,,2021-01-29 17:15:04.685,yi,,1620.0,yi/e/cgni01/c/rack01/28/bm/nov018,yi/e/cgni01/c/rack01/28/bm/nov018,yginec01nov018,server,ipmi,sel,hp.ipmi.sel.21,,hw-fault,warning,"hpe ethernet 1gb 4-port 331i adapter - nic connectivity status changed to ok for adapter in slot 0, port 3",ipmi_api,status,,0

3669,2021-01-29 17:15:04.720,2021-01-29 08:05:05.000,2021-01-29 08:05:05.000,,,,2021-01-29 17:15:04.720,yi,,1620.0,yi/e/cgni01/c/rack01/28/bm/nov018,yi/e/cgni01/c/rack01/28/bm/nov018,yginec01nov018,server,ipmi,sel,hp.ipmi.sel.22,,hw-fault,warning,"hpe ethernet 1gb 4-port 331i adapter - nic connectivity status changed to ok for adapter in slot 0, port 4",ipmi_api,status,,0

