,recv_c_dttm,create_dttm,resolve_dttm,user_resolve_dttm,forced_resolve_dttm,forced_username,recv_r_dttm,region,eid,ne_id,dn,dn_invt,mon_nm,step1,step2,step3,step4,obj,cause,grade,rect_type,rect_type.1,alert_type,alert_id,Y

55695,2021-04-13 03:40:20.358,2021-04-13 03:40:20.358,2021-04-13 03:45:03.125,,,,2021-04-13 03:45:03.125,dn,,3301.0,dn/e/cgni01/c/rack05/09/bm/nov052,dn/e/cgni01/c/rack05/09/bm/nov052,doneec01nov052,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

55696,2021-04-13 03:40:20.374,2021-04-13 03:40:20.374,2021-04-13 03:45:03.173,,,,2021-04-13 03:45:03.173,dn,,3298.0,dn/e/cgni01/c/rack05/03/bm/nov050,dn/e/cgni01/c/rack05/03/bm/nov050,doneec01nov050,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

55697,2021-04-13 03:40:20.837,2021-04-13 03:40:20.837,2021-04-13 03:45:03.416,,,,2021-04-13 03:45:03.416,dn,,3296.0,dn/e/cgni01/c/rack05/15/bm/nov054,dn/e/cgni01/c/rack05/15/bm/nov054,doneec01nov054,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

55698,2021-04-13 03:40:20.868,2021-04-13 03:40:20.868,2021-04-13 03:45:03.439,,,,2021-04-13 03:45:03.439,dn,,3295.0,dn/e/cgni01/c/rack05/21/bm/nov056,dn/e/cgni01/c/rack05/21/bm/nov056,doneec01nov056,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

55699,2021-04-13 03:45:20.583,2021-04-13 03:45:20.583,2021-04-13 03:50:02.533,,,,2021-04-13 03:50:02.533,dn,,3299.0,dn/e/cgni01/c/rack05/06/bm/nov051,dn/e/cgni01/c/rack05/06/bm/nov051,doneec01nov051,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

55700,2021-04-13 03:45:20.597,2021-04-13 03:45:20.597,2021-04-13 03:50:02.657,,,,2021-04-13 03:50:02.657,dn,,3300.0,dn/e/cgni01/c/rack05/12/bm/nov053,dn/e/cgni01/c/rack05/12/bm/nov053,doneec01nov053,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

55701,2021-04-13 03:45:21.109,2021-04-13 03:45:21.109,2021-04-13 03:50:03.223,,,,2021-04-13 03:50:03.223,dn,,3302.0,dn/e/cgni01/c/rack05/24/bm/nov057,dn/e/cgni01/c/rack05/24/bm/nov057,doneec01nov057,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

55702,2021-04-13 03:45:21.110,2021-04-13 03:45:21.110,2021-04-13 03:50:03.196,,,,2021-04-13 03:50:03.196,dn,,3297.0,dn/e/cgni01/c/rack05/18/bm/nov055,dn/e/cgni01/c/rack05/18/bm/nov055,doneec01nov055,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

55895,2021-04-14 01:10:03.128,2021-04-13 16:05:58.000,,,,,,gr,,1918.0,gr/c/cgni01/c/rack07/21/bm/nov076,gr/c/cgni01/c/rack07/21/bm/nov076,gurocc01nov076,server,ipmi,sel,dell.ipmi.sel.9,,hw-fault,critical,unable to access front led panel because of a hardware error condition.,ipmi_api,status,,1

55898,2021-04-14 01:05:02.907,2021-04-14 01:05:02.907,2021-04-14 01:10:02.670,,,,2021-04-14 01:10:02.670,gr,,315.0,gr/c/cgni01/c/rack02/09/bm/nov022,gr/c/cgni01/c/rack02/09/bm/nov022,gurocc01nov022,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

55899,2021-04-14 01:05:06.020,2021-04-14 01:05:06.020,2021-04-14 01:10:05.533,,,,2021-04-14 01:10:05.533,gr,,1914.0,gr/c/cgni01/c/rack07/09/bm/nov072,gr/c/cgni01/c/rack07/09/bm/nov072,gurocc01nov072,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

55900,2021-04-14 01:05:06.050,2021-04-14 01:05:06.050,2021-04-14 01:10:03.108,,,,2021-04-14 01:10:03.108,gr,,1918.0,gr/c/cgni01/c/rack07/21/bm/nov076,gr/c/cgni01/c/rack07/21/bm/nov076,gurocc01nov076,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

55902,2021-04-14 01:25:03.240,2021-04-14 01:24:23.000,2021-04-14 01:24:23.000,,,,2021-04-14 01:25:03.240,gr,,1918.0,gr/c/cgni01/c/rack07/21/bm/nov076,gr/c/cgni01/c/rack07/21/bm/nov076,gurocc01nov076,server,ipmi,sel,dell.ipmi.sel.1,,hw-fault,warning,log cleared.,ipmi_api,status,,0

55907,2021-04-15 01:10:04.028,2021-04-14 16:09:56.000,2021-04-14 16:09:56.000,,,,2021-04-15 01:10:04.028,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.94,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 1, port 1",ipmi_api,status,,0

55908,2021-04-15 01:10:04.088,2021-04-14 16:09:56.000,2021-04-14 16:09:56.000,,,,2021-04-15 01:10:04.088,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.95,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 1, port 2",ipmi_api,status,,0

55909,2021-04-15 01:10:04.119,2021-04-14 16:09:56.000,2021-04-14 16:09:56.000,,,,2021-04-15 01:10:04.119,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.96,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 2, port 1",ipmi_api,status,,0

55910,2021-04-15 01:10:04.151,2021-04-14 16:09:56.000,2021-04-14 16:09:56.000,,,,2021-04-15 01:10:04.151,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.97,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 2, port 2",ipmi_api,status,,0

55911,2021-04-15 01:10:04.182,2021-04-14 16:09:56.000,2021-04-14 16:09:56.000,,,,2021-04-15 01:10:04.182,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.98,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 1",ipmi_api,status,,0

55912,2021-04-15 01:10:04.212,2021-04-14 16:09:56.000,2021-04-14 16:09:56.000,,,,2021-04-15 01:10:04.212,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.99,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 2",ipmi_api,status,,0

55913,2021-04-15 01:10:04.242,2021-04-14 16:09:56.000,2021-04-14 16:09:56.000,,,,2021-04-15 01:10:04.242,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.100,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 3",ipmi_api,status,,0

55914,2021-04-15 01:10:04.280,2021-04-14 16:09:57.000,2021-04-14 16:09:57.000,,,,2021-04-15 01:10:04.280,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.101,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 4",ipmi_api,status,,0

55915,2021-04-15 01:10:04.310,2021-04-14 16:09:57.000,2021-04-14 16:09:57.000,,,,2021-04-15 01:10:04.310,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.102,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 4, port 1",ipmi_api,status,,0

55916,2021-04-15 01:10:04.340,2021-04-14 16:09:57.000,2021-04-14 16:09:57.000,,,,2021-04-15 01:10:04.340,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.103,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 4, port 2",ipmi_api,status,,0

55917,2021-04-15 01:10:04.370,2021-04-14 16:09:57.000,2021-04-14 16:09:57.000,,,,2021-04-15 01:10:04.370,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.104,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 5, port 1",ipmi_api,status,,0

55918,2021-04-15 01:10:04.401,2021-04-14 16:09:57.000,2021-04-14 16:09:57.000,,,,2021-04-15 01:10:04.401,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.105,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 5, port 2",ipmi_api,status,,0

55919,2021-04-15 01:10:04.431,2021-04-14 16:09:57.000,2021-04-14 16:09:57.000,,,,2021-04-15 01:10:04.431,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.106,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 1",ipmi_api,status,,0

55920,2021-04-15 01:10:04.463,2021-04-14 16:09:57.000,2021-04-14 16:09:57.000,,,,2021-04-15 01:10:04.463,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.107,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 2",ipmi_api,status,,0

55921,2021-04-15 01:10:04.497,2021-04-14 16:09:57.000,2021-04-14 16:09:57.000,,,,2021-04-15 01:10:04.497,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.108,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 3",ipmi_api,status,,0

55922,2021-04-15 01:10:04.528,2021-04-14 16:09:57.000,2021-04-14 16:09:57.000,,,,2021-04-15 01:10:04.528,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.109,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 4",ipmi_api,status,,0

55923,2021-04-15 01:25:04.562,2021-04-14 16:23:47.000,2021-04-14 16:23:47.000,,,,2021-04-15 01:25:04.562,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.110,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 1, port 1",ipmi_api,status,,0

55924,2021-04-15 01:25:04.596,2021-04-14 16:23:47.000,2021-04-14 16:23:47.000,,,,2021-04-15 01:25:04.596,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.111,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 1, port 2",ipmi_api,status,,0

55925,2021-04-15 01:25:04.627,2021-04-14 16:23:47.000,2021-04-14 16:23:47.000,,,,2021-04-15 01:25:04.627,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.112,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 2, port 1",ipmi_api,status,,0

55926,2021-04-15 01:25:04.661,2021-04-14 16:23:47.000,2021-04-14 16:23:47.000,,,,2021-04-15 01:25:04.661,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.113,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 2, port 2",ipmi_api,status,,0

55927,2021-04-15 01:25:04.694,2021-04-14 16:23:47.000,2021-04-14 16:23:47.000,,,,2021-04-15 01:25:04.694,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.114,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 1",ipmi_api,status,,0

55928,2021-04-15 01:25:04.724,2021-04-14 16:23:47.000,2021-04-14 16:23:47.000,,,,2021-04-15 01:25:04.724,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.115,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 2",ipmi_api,status,,0

55929,2021-04-15 01:25:04.755,2021-04-14 16:23:48.000,2021-04-14 16:23:48.000,,,,2021-04-15 01:25:04.755,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.116,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 3",ipmi_api,status,,0

55930,2021-04-15 01:25:04.786,2021-04-14 16:23:48.000,2021-04-14 16:23:48.000,,,,2021-04-15 01:25:04.786,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.117,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 4",ipmi_api,status,,0

55931,2021-04-15 01:25:04.817,2021-04-14 16:23:48.000,2021-04-14 16:23:48.000,,,,2021-04-15 01:25:04.817,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.118,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 4, port 1",ipmi_api,status,,0

55932,2021-04-15 01:25:04.847,2021-04-14 16:23:48.000,2021-04-14 16:23:48.000,,,,2021-04-15 01:25:04.847,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.119,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 4, port 2",ipmi_api,status,,0

55933,2021-04-15 01:25:04.878,2021-04-14 16:23:48.000,2021-04-14 16:23:48.000,,,,2021-04-15 01:25:04.878,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.120,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 5, port 1",ipmi_api,status,,0

55934,2021-04-15 01:25:04.908,2021-04-14 16:23:48.000,2021-04-14 16:23:48.000,,,,2021-04-15 01:25:04.908,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.121,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 5, port 2",ipmi_api,status,,0

55935,2021-04-15 01:25:04.938,2021-04-14 16:23:48.000,2021-04-14 16:23:48.000,,,,2021-04-15 01:25:04.938,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.122,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 1",ipmi_api,status,,0

55936,2021-04-15 01:25:04.969,2021-04-14 16:23:48.000,2021-04-14 16:23:48.000,,,,2021-04-15 01:25:04.969,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.123,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 2",ipmi_api,status,,0

55937,2021-04-15 01:25:04.999,2021-04-14 16:23:48.000,2021-04-14 16:23:48.000,,,,2021-04-15 01:25:04.999,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.124,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 3",ipmi_api,status,,0

55938,2021-04-15 01:25:05.037,2021-04-14 16:23:48.000,2021-04-14 16:23:48.000,,,,2021-04-15 01:25:05.037,dj,,1499.0,dj/c/cgni01/c/rack03/12/bm/nov033,dj/c/cgni01/c/rack03/12/bm/nov033,dejncc01nov033,server,ipmi,sel,hp.ipmi.sel.125,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 4",ipmi_api,status,,0

55939,2021-04-15 01:50:04.413,2021-04-14 16:45:06.000,2021-04-14 16:45:06.000,,,,2021-04-15 01:50:04.413,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.117,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 1, port 1",ipmi_api,status,,0

55940,2021-04-15 01:50:04.453,2021-04-14 16:45:06.000,2021-04-14 16:45:06.000,,,,2021-04-15 01:50:04.453,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.118,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 1, port 2",ipmi_api,status,,0

55941,2021-04-15 01:50:04.488,2021-04-14 16:45:06.000,2021-04-14 16:45:06.000,,,,2021-04-15 01:50:04.488,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.119,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 2, port 1",ipmi_api,status,,0

55942,2021-04-15 01:50:04.521,2021-04-14 16:45:06.000,2021-04-14 16:45:06.000,,,,2021-04-15 01:50:04.521,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.120,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 2, port 2",ipmi_api,status,,0

55943,2021-04-15 01:50:04.554,2021-04-14 16:45:06.000,2021-04-14 16:45:06.000,,,,2021-04-15 01:50:04.554,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.121,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 1",ipmi_api,status,,0

55944,2021-04-15 01:50:04.588,2021-04-14 16:45:06.000,2021-04-14 16:45:06.000,,,,2021-04-15 01:50:04.588,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.122,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 2",ipmi_api,status,,0

55945,2021-04-15 01:50:04.631,2021-04-14 16:45:06.000,2021-04-14 16:45:06.000,,,,2021-04-15 01:50:04.631,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.123,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 3",ipmi_api,status,,0

55946,2021-04-15 01:50:04.668,2021-04-14 16:45:06.000,2021-04-14 16:45:06.000,,,,2021-04-15 01:50:04.668,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.124,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 3, port 4",ipmi_api,status,,0

55947,2021-04-15 01:50:04.702,2021-04-14 16:45:06.000,2021-04-14 16:45:06.000,,,,2021-04-15 01:50:04.702,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.125,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 4, port 1",ipmi_api,status,,0

55948,2021-04-15 01:50:04.736,2021-04-14 16:45:06.000,2021-04-14 16:45:06.000,,,,2021-04-15 01:50:04.736,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.126,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 4, port 2",ipmi_api,status,,0

55949,2021-04-15 01:50:04.772,2021-04-14 16:45:06.000,2021-04-14 16:45:06.000,,,,2021-04-15 01:50:04.772,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.127,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 5, port 1",ipmi_api,status,,0

55950,2021-04-15 01:50:04.811,2021-04-14 16:45:07.000,2021-04-14 16:45:07.000,,,,2021-04-15 01:50:04.811,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.128,,hw-fault,warning,"hpe ethernet 10gb 2-port 562sfp+ adapter connectivity status changed to ok for adapter in slot 5, port 2",ipmi_api,status,,0

55951,2021-04-15 01:50:04.846,2021-04-14 16:45:07.000,2021-04-14 16:45:07.000,,,,2021-04-15 01:50:04.846,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.129,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 1",ipmi_api,status,,0

55952,2021-04-15 01:50:04.879,2021-04-14 16:45:07.000,2021-04-14 16:45:07.000,,,,2021-04-15 01:50:04.879,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.130,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 2",ipmi_api,status,,0

55953,2021-04-15 01:50:04.913,2021-04-14 16:45:07.000,2021-04-14 16:45:07.000,,,,2021-04-15 01:50:04.913,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.131,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 3",ipmi_api,status,,0

55954,2021-04-15 01:50:04.949,2021-04-14 16:45:07.000,2021-04-14 16:45:07.000,,,,2021-04-15 01:50:04.949,dj,,2126.0,dj/c/cgni01/c/rack03/09/bm/nov032,dj/c/cgni01/c/rack03/09/bm/nov032,dejncc01nov032,server,ipmi,sel,hp.ipmi.sel.132,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 4",ipmi_api,status,,0

56139,2021-04-16 01:15:04.794,2021-04-15 16:08:55.000,,,2021-04-16 02:00:09.000,,2021-04-16 02:00:09.000,yi,,1670.0,yi/e/cgni01/c/rack06/28/bm/nov068,yi/e/cgni01/c/rack06/28/bm/nov068,yginec01nov068,server,ipmi,sel,hp.ipmi.sel.58,,hw-fault,critical,"intel(r) ethernet converged network adapter xl710-q2 connectivity status changed to link failure for adapter in slot 1, port 1",ipmi_api,status,,1

56140,2021-04-16 01:25:05.387,2021-04-15 16:17:12.000,2021-04-15 16:17:12.000,,,,2021-04-16 01:25:05.387,yi,,1670.0,yi/e/cgni01/c/rack06/28/bm/nov068,yi/e/cgni01/c/rack06/28/bm/nov068,yginec01nov068,server,ipmi,sel,hp.ipmi.sel.59,,hw-fault,warning,"intel(r) ethernet converged network adapter xl710-q2 connectivity status changed to ok for adapter in slot 1, port 1",ipmi_api,status,,0

